Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","1999","1999","1000 USD","104902572","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2000","2000","1000 USD","99968684","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2001","2001","1000 USD","100043636","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2002","2002","1000 USD","96939877","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2003","2003","1000 USD","113345867","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2004","2004","1000 USD","133682408","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2005","2005","1000 USD","152725886","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2006","2006","1000 USD","175983065","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2007","2007","1000 USD","247738175","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2008","2008","1000 USD","251378933","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2009","2009","1000 USD","247839042","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2010","2010","1000 USD","331957419","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2011","2011","1000 USD","375528954","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2012","2012","1000 USD","362652639","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2013","2013","1000 USD","329725502","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2014","2014","1000 USD","352879487","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2015","2015","1000 USD","354070791","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2016","2016","1000 USD","370778206","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2017","2017","1000 USD","418840689","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2018","2018","1000 USD","414581988","E","Valeur estimée"
"QV","Valeur de la Production Agricole","356","Inde","57","Production Brute (millier US$)","F2051","Agriculture","2019","2019","1000 USD","442229965","E","Valeur estimée"
